Wavelength(microns),Rplanet/Rstar,source_x_pixel,source_y_pixel,pixel_trace_interpolated
2.981806768,0.1440177362,439,456,True
2.983170421,0.1440657383,440,452,True
2.984534074,0.1441137404,441,448,True
2.985897728,0.1441617425,442,444,True
2.987261381,0.1442097445,443,440,False
2.988625034,0.1439817347,444,459,False
2.989988688,0.144011736,445,456.5,False
2.991352341,0.1440057357,446,457,False
2.992715994,0.1440657383,447,452,False
2.994079648,0.1441437417,448,445.5,False
2.995443301,0.1433337067,449,513,False
2.996806954,0.1434997139,450,499.1666667,True
2.998170608,0.143665721,451,485.3333333,True
2.999534261,0.1438317282,452,471.5,False
3.000897914,0.1438197277,453,472.5,False
3.002261568,0.1435857176,454,492,False
3.003625221,0.1441227408,455,447.25,True
3.004988874,0.144659764,456,402.5,False
3.006352528,0.1446537637,457,403,False
3.007716181,0.1443237495,458,430.5,False
3.009079834,0.1442247452,459,438.75,True
3.010443487,0.1441257409,460,447,False
3.011807141,0.1440897394,461,450,True
3.013170794,0.1440537378,462,453,True
3.014534447,0.1440177362,463,456,True
3.015898101,0.1439817347,464,459,True
3.017261754,0.1439457331,465,462,True
3.018625407,0.1439097316,466,465,False
3.019989061,0.143987735,467,458.5,False
3.021352714,0.1439997355,468,457.5,False
3.022716367,0.1439157318,469,464.5,False
3.024080021,0.1437417243,470,479,False
3.025443674,0.1437537248,471,478,True
3.026807327,0.1437657254,472,477,False
3.028170981,0.1437657254,473,477,False
3.029534634,0.1437597251,474,477.5,False
3.030898287,0.143987735,475,458.5,False
3.032261941,0.1438977311,476,466,False
3.033625594,0.1437357241,477,479.5,False
3.034989247,0.1437237236,478,480.5,False
3.0363529,0.1441857435,479,442,False
3.037716554,0.1440537378,480,453,False
3.039080207,0.1441137404,481,448,True
3.04044386,0.144173743,482,443,False
3.041807514,0.1433457072,483,512,False
3.043171167,0.1437177233,484,481,False
3.04453482,0.1439697342,485,460,False
3.045898474,0.1439697342,486,460,False
3.047262127,0.1439577337,487,461,True
3.04862578,0.1439457331,488,462,False
3.049989434,0.1438537292,489,469.6666667,True
3.051353087,0.1437617252,490,477.3333333,True
3.05271674,0.1436697212,491,485,False
3.054080394,0.1438617295,492,469,False
3.055444047,0.1447317671,493,396.5,False
3.0568077,0.144173743,494,443,False
3.058171353,0.1439617338,495,460.6666667,True
3.059535007,0.1437497247,496,478.3333333,True
3.06089866,0.1435377155,497,496,False
3.062262313,0.1435782173,498,492.625,True
3.063625967,0.143618719,499,489.25,True
3.06498962,0.1436592208,500,485.875,True
3.066353273,0.1436997225,501,482.5,False
3.067716927,0.143711723,502,481.5,False
3.06908058,0.1437297238,503,480,False
3.070444233,0.1436517204,504,486.5,True
3.071807887,0.1435737171,505,493,True
3.07317154,0.1434957137,506,499.5,False
3.074535193,0.1436157189,507,489.5,False
3.075898847,0.1436517204,508,486.5,False
3.0772625,0.1434297109,509,505,False
3.078626153,0.1435357154,510,496.1666667,True
3.079989807,0.14364172,511,487.3333333,True
3.08135346,0.1437477246,512,478.5,False
3.082717113,0.1437537248,513,478,False
3.084080766,0.1437432244,514,478.875,True
3.08544442,0.1437327239,515,479.75,True
3.086808073,0.1437222235,516,480.625,True
3.088171726,0.143711723,517,481.5,False
3.08953538,0.1437177233,518,481,False
3.090899033,0.1433697083,519,510,False
3.092262686,0.1434273108,520,505.2,True
3.09362634,0.1434849132,521,500.4,True
3.094989993,0.1435425157,522,495.6,True
3.096353646,0.1436001182,523,490.8,True
3.0977173,0.1436577207,524,486,False
3.099080953,0.1435377155,525,496,False
3.100444606,0.143663721,526,485.5,False
3.10180826,0.1435617166,527,494,False
3.103171913,0.1435677168,528,493.5,False
3.104535566,0.143687722,529,483.5,False
3.10589922,0.1438077272,530,473.5,False
3.107262873,0.1435617166,531,494,False
3.108626526,0.1435437158,532,495.5,False
3.109990179,0.1438077272,533,473.5,True
3.111353833,0.1440717386,534,451.5,False
3.112717486,0.1435737171,535,493,False
3.114081139,0.1435707169,536,493.25,True
3.115444793,0.1435677168,537,493.5,True
3.116808446,0.1435647167,538,493.75,True
3.118172099,0.1435617166,539,494,False
3.119535753,0.1435557163,540,494.5,True
3.120899406,0.143549716,541,495,False
3.122263059,0.1434857133,542,500.3333333,True
3.123626713,0.1434217105,543,505.6666667,True
3.124990366,0.1433577078,544,511,False
3.126354019,0.1433277065,545,513.5,False
3.127717673,0.143456712,546,502.75,True
3.129081326,0.1435857176,547,492,True
3.130444979,0.1437147232,548,481.25,True
3.131808633,0.1438437287,549,470.5,False
3.133172286,0.143849729,550,470,False
3.134535939,0.1432797044,551,517.5,False
3.135899592,0.1433217062,552,514,False
3.137263246,0.1433457072,553,512,False
