log Pressure(bar),log VMR CO,log VMR H_2O,log VMR CO_2,log VMR CH_4,log VMR SO_2,log VMR H_2S,log VMR NH_3
-3.0636475584908065,-1.6914484503656382,-1.7797283962892692,-3.4009836397581377,-5.996243234923631,-5.569798734096375,-3.102609193894837,-5.8186873968133135
-2.86236935806897,-1.6914133073166404,-1.7796577037541814,-3.4016300591215547,-5.9934376101293125,-5.732187215460176,-3.0685524658005767,-5.807812070415956
-2.641074986647614,-1.6913875280846455,-1.7796061502876155,-3.402104397063346,-5.9913988467741515,-5.912569409418376,-3.045254787530934,-5.800034782986905
-2.398095920943506,-1.691368922897657,-1.7795696501349667,-3.4024492045105044,-5.989959763961557,-6.114565792401121,-3.0295301004818693,-5.794609126475294
-2.1558102097582053,-1.6913557940375148,-1.779545407716535,-3.4027247132640976,-5.989039148215821,-6.325292951967293,-3.0201345460831366,-5.791173169718849
-1.9190370054584767,-1.6913419758173274,-1.7795237292966883,-3.4032087698546913,-5.988452869219188,-6.547779461285912,-3.015986195790034,-5.789021772438263
-1.7127561704194791,-1.6913206345594767,-1.779494825401726,-3.404215239589647,-5.988105314616715,-6.767910251487799,-3.01537492390973,-5.787799561738243
-1.5237413574857075,-1.69129414905088,-1.77946049381075,-3.4055357448400607,-5.9878783407411795,-7.012245947729855,-3.015321828059448,-5.787099172527766
-1.3489369528580761,-1.6912449653311568,-1.779398916154788,-3.4080629133634837,-5.987724787532934,-7.314651704210422,-3.0153189473878443,-5.786819506278625
-1.1892648617513795,-1.6910890742697278,-1.779207213806267,-3.4162464682825355,-5.987621256898889,-7.7127899442669765,-3.015330796547247,-5.786841478564522
-1.023191258551782,-1.6907219597023393,-1.7787573586252132,-3.4361919761431055,-5.9875434278143125,-8.31785138009904,-3.0153469330471756,-5.786965415031512
-0.8576666285481245,-1.6901210698204165,-1.7780216830018745,-3.4710104090771217,-5.9874909066962685,-9.249337318118567,-3.015382183375064,-5.7870956791053425
-0.6951712652130996,-1.6893606561385406,-1.7770910094729098,-3.5195862486756826,-5.987471740647899,-10.382119913004667,-3.015449993694743,-5.787239753759001
-0.5374395536429325,-1.6885683292262883,-1.7761215202619285,-3.576864549804033,-5.987571595812138,-10.40379446176359,-3.0155799063154674,-5.787473992869917
-0.3865514278657113,-1.6877938824388172,-1.7751741431304444,-3.6414146617930503,-5.988411726016773,-10.083202421515988,-3.015854323803914,-5.78801704430152
-0.24535078737190572,-1.6870741336528243,-1.7742941970645603,-3.7116686158645518,-5.994381413780036,-9.697185228880961,-3.0164754345462437,-5.789491276228869
-0.11533251624801644,-1.6864596004795656,-1.77354604531377,-3.7825181865065876,-6.032932989903867,-9.282152515369402,-3.017851756297776,-5.793216906751995
-0.0019996664771346918,-1.6860009374082836,-1.772997600620286,-3.8445666369148808,-6.187849665756118,-8.905893753281223,-3.020401367046014,-5.799406707376184
0.08531122277811377,-1.6857044252646192,-1.7726452105821737,-3.891576094346369,-6.383560971829887,-8.613902031568875,-3.024017820912117,-5.805970266736121
