instrname,reference,bandpass,iwave,wave,waveMin,waveMax,xMin,xMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink
NIRSPEC_G395H_NRS1,ExoTEP,uniform,11,3.0593771934509277,3.0509083,3.0678463,0,0,3481.5787,53.7559,53.7559,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,12,3.0763139724731445,3.0678463,3.084782,0,0,3603.6796,55.2802,55.2802,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,13,3.0932483673095703,3.084782,3.1017148,0,0,3519.7004,52.0447,52.0447,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,14,3.11051869392395,3.1017148,3.1193225,0,0,3465.0962,54.8411,54.8411,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,15,3.127816677093506,3.1193225,3.1363106,0,0,3511.0913,52.1939,52.1939,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,16,3.144773244857788,3.1363106,3.153236,0,0,3521.2047,50.0505,50.0505,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,17,3.1616973876953125,3.153236,3.1701586,0,0,3487.2749,52.1173,52.1173,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,18,3.178956985473633,3.1701586,3.187755,0,0,3647.845,54.363,54.363,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,19,3.196213722229004,3.187755,3.204672,0,0,3595.0382,53.8449,53.8449,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,20,3.2131595611572266,3.204672,3.2216468,0,0,3534.1083,50.4788,50.4788,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,21,3.2301025390625,3.2216468,3.238558,0,0,3570.5633,52.4777,52.4777,0.0,0.0,0,none
