wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.335500000000000131e+00 1.449999999999995737e-02 1.420080414261827963e-03 2.471192371187983750e-05 2.440377446169464455e-05
3.363999999999999879e+00 1.400000000000001243e-02 1.417373260389652749e-03 2.406186721145068985e-05 2.433744064220710713e-05
3.392000000000000348e+00 1.400000000000001243e-02 1.423554072337610346e-03 2.376627041177497513e-05 2.376225368949486750e-05
3.419999999999999929e+00 1.400000000000001243e-02 1.400729179512078676e-03 2.427197105896632538e-05 2.421156938795416356e-05
3.448000000000000398e+00 1.400000000000001243e-02 1.360353166644823718e-03 2.482404415887792099e-05 2.429969787009169020e-05
3.476500000000000146e+00 1.449999999999995737e-02 1.400749121399638784e-03 2.513937882064258721e-05 2.496544416324154847e-05
3.504999999999999893e+00 1.400000000000001243e-02 1.382074883874347040e-03 2.552655982528656052e-05 2.564158531366879672e-05
3.533000000000000362e+00 1.400000000000001243e-02 1.421490516305027024e-03 2.509650172009662578e-05 2.518325685943755799e-05
3.560999999999999943e+00 1.400000000000001243e-02 1.412985787676667446e-03 2.544075378561256234e-05 2.452252737710804154e-05
3.589500000000000135e+00 1.449999999999995737e-02 1.379483638393779604e-03 2.436148933626334920e-05 2.420554876711880922e-05
3.618000000000000327e+00 1.400000000000001243e-02 1.392582392385816612e-03 2.669315463075085790e-05 2.616355546402340004e-05
3.645999999999999908e+00 1.400000000000001243e-02 1.434676248655510642e-03 2.538590056657636447e-05 2.515675718562003179e-05
3.674000000000000377e+00 1.400000000000001243e-02 1.398006880216793799e-03 2.683581013650619210e-05 2.667931213555038440e-05
3.701999999999999957e+00 1.400000000000001243e-02 1.409407936280930931e-03 2.671643165694556255e-05 2.666528545550545142e-05
3.841499999999999915e+00 2.150000000000007461e-02 1.403973930677976725e-03 2.374584935959714779e-05 2.317327344075636899e-05
3.883999999999999897e+00 2.099999999999990763e-02 1.379632856261823592e-03 2.300613511286481486e-05 2.282779831776723898e-05
3.926499999999999879e+00 2.150000000000007461e-02 1.414588063263104000e-03 2.388617679426066295e-05 2.311130056892395334e-05
3.969500000000000028e+00 2.150000000000007461e-02 1.442068565936560545e-03 2.485783123810822145e-05 2.392753466638541121e-05
4.012000000000000455e+00 2.100000000000012967e-02 1.449982164975298230e-03 2.592601617581049317e-05 2.573455957174900841e-05
4.054499999999999993e+00 2.149999999999963052e-02 1.442230594156170085e-03 2.636573126163964671e-05 2.617451021331674920e-05
4.097500000000000142e+00 2.150000000000007461e-02 1.443880128042810112e-03 2.619807457554064052e-05 2.586125144102288469e-05
4.139999999999999680e+00 2.099999999999990763e-02 1.364724746088853127e-03 2.685192759854421093e-05 2.648670899455448242e-05
4.182499999999999218e+00 2.150000000000007461e-02 1.439127231864042837e-03 2.826939346006105785e-05 2.714840914654254823e-05
4.225500000000000256e+00 2.150000000000007461e-02 1.425978601487064637e-03 2.628837047144234166e-05 2.703196943805676308e-05
4.267999999999999794e+00 2.099999999999990763e-02 1.443560759227709546e-03 2.873548120206089636e-05 2.876969166344487690e-05
4.310499999999999332e+00 2.150000000000007461e-02 1.427762635765452825e-03 3.294248819484355022e-05 3.219417650305647085e-05
4.353500000000000369e+00 2.150000000000007461e-02 1.454915080601197576e-03 3.116509395430422700e-05 3.129619350725089936e-05
4.395999999999999908e+00 2.099999999999990763e-02 1.504182897922870781e-03 3.471115741924333099e-05 3.466450854113868244e-05
4.438499999999999446e+00 2.150000000000007461e-02 1.463966616452083962e-03 3.338372020986748811e-05 3.270397203617953581e-05
4.481500000000000483e+00 2.150000000000007461e-02 1.466089531030453832e-03 3.550735018339077286e-05 3.536914700525264964e-05
4.524000000000000021e+00 2.099999999999990763e-02 1.422355881991029403e-03 3.679392792978555295e-05 3.572169439379385453e-05
4.566499999999999559e+00 2.150000000000007461e-02 1.426944906634320873e-03 3.723903061395252196e-05 3.809296729275093676e-05
4.609500000000000597e+00 2.150000000000007461e-02 1.458173382700576849e-03 3.632954948475206232e-05 3.705635173357543094e-05
4.652000000000000135e+00 2.099999999999990763e-02 1.409729078162683981e-03 3.962799608725115944e-05 3.884950778676534734e-05
4.694499999999999673e+00 2.150000000000007461e-02 1.417814398742157011e-03 3.885296281786590803e-05 3.827297308234616852e-05
4.737500000000000711e+00 2.150000000000007461e-02 1.400992986978226570e-03 3.915818916421212652e-05 3.858298331424639762e-05
4.780000000000000249e+00 2.099999999999990763e-02 1.373164822279236957e-03 4.066903952968837382e-05 4.036616149181917746e-05
4.822499999999999787e+00 2.150000000000007461e-02 1.455499207190160500e-03 4.296412712800535172e-05 4.340892497454717369e-05
4.865499999999999936e+00 2.149999999999963052e-02 1.495832647241085271e-03 4.230635384963767873e-05 4.171857652200492296e-05
4.907999999999999474e+00 2.100000000000035172e-02 1.456270308700858673e-03 4.542696684872879964e-05 4.470214019507149419e-05
