wvl(micron) wvl_fullwidth(micron) depths depths_err_up depths_err_down
3.560500000000000220e+00 1.450000000000017941e-02 1.373958950681030420e-03 3.704683961818270276e-05 3.831608016226771031e-05
3.589000000000000412e+00 1.400000000000001243e-02 1.343221139782330587e-03 3.663901572357347071e-05 3.710362363705229163e-05
3.616999999999999993e+00 1.399999999999979039e-02 1.422825184887694305e-03 3.941699633855160964e-05 4.066393554895929296e-05
3.644999999999999574e+00 1.400000000000001243e-02 1.407871904714359844e-03 3.690453574720889592e-05 3.887634352510546849e-05
3.673000000000000043e+00 1.400000000000001243e-02 1.381920672009119815e-03 3.993811269119296181e-05 4.135936790952633897e-05
3.700999999999999623e+00 1.400000000000001243e-02 1.416645895860471757e-03 4.063620461711354472e-05 4.115805305551626693e-05
3.841499999999999915e+00 2.150000000000007461e-02 1.428903975369008247e-03 3.626536667313256385e-05 3.651277358509468288e-05
3.883999999999999897e+00 2.099999999999990763e-02 1.343951200528599281e-03 3.456725231765732376e-05 3.532344563528938552e-05
3.926499999999999879e+00 2.150000000000007461e-02 1.407228329428209489e-03 3.576778802243021221e-05 3.584016850676635668e-05
3.969500000000000028e+00 2.150000000000007461e-02 1.439821064315514269e-03 3.623341291775434084e-05 3.675235595615856769e-05
4.012000000000000455e+00 2.100000000000012967e-02 1.434257314699228679e-03 4.004173769836072254e-05 4.128690165927694292e-05
4.054499999999999993e+00 2.149999999999963052e-02 1.432518124721525021e-03 3.987736859098890523e-05 4.066277953610982800e-05
4.097500000000000142e+00 2.150000000000007461e-02 1.442883175609454118e-03 3.919080605053939376e-05 4.050451908463293359e-05
4.139999999999999680e+00 2.099999999999990763e-02 1.302657368207000297e-03 4.080073550358567780e-05 4.205298837061180461e-05
4.182499999999999218e+00 2.150000000000007461e-02 1.462867657101482024e-03 4.106828475584889913e-05 4.299119784994674849e-05
4.225500000000000256e+00 2.150000000000007461e-02 1.433177336520778796e-03 4.031735709003332439e-05 3.998700273207043791e-05
4.267999999999999794e+00 2.099999999999990763e-02 1.423910953822250152e-03 4.316771725481867786e-05 4.419545999312878524e-05
4.310499999999999332e+00 2.150000000000007461e-02 1.444581271726012037e-03 4.916104269460028209e-05 5.036304457177367272e-05
4.353500000000000369e+00 2.150000000000007461e-02 1.454228272418108588e-03 4.738676607865511224e-05 4.682361824361633111e-05
4.395999999999999908e+00 2.099999999999990763e-02 1.564417280727714316e-03 5.488446192329350486e-05 5.691578091522424276e-05
4.438499999999999446e+00 2.150000000000007461e-02 1.431501135366557761e-03 4.854068788086654540e-05 5.102324495632917616e-05
4.481500000000000483e+00 2.150000000000007461e-02 1.468619218034460929e-03 5.429969420729045121e-05 5.449686251721174747e-05
4.524000000000000021e+00 2.099999999999990763e-02 1.468847624476498845e-03 5.632077626488256328e-05 5.822342147734959131e-05
