wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.998948784250096811e+00 1.989526758333370893e-02 1.421523480944931073e-03 2.648523544274321439e-05 2.678043404761478987e-05
4.038938272092597259e+00 2.009422025916718368e-02 1.434102407014718836e-03 2.689930984016761619e-05 2.652239531079100986e-05
4.079327654813523552e+00 2.029516246175866456e-02 1.466643330531111926e-03 2.949047983050724045e-05 2.820895223605289932e-05
4.120120931361658023e+00 2.049811408637625121e-02 1.382157622933999049e-03 2.948914833091360047e-05 2.900681218534413201e-05
4.161322140675274284e+00 2.070309522724000928e-02 1.408276761787596951e-03 2.862385252280209532e-05 2.845677738888781732e-05
4.202935362082026671e+00 2.091012617951237829e-02 1.438803490460364379e-03 3.988827900302819511e-05 3.172011009678768554e-05
4.244964715702847613e+00 2.111922744130767526e-02 1.464720182958759338e-03 2.857178682417055711e-05 2.802022929724900366e-05
4.287414362859875538e+00 2.133041971572069428e-02 1.438087498203190293e-03 3.649993109006154801e-05 3.354821463064919571e-05
4.330288506488473743e+00 2.154372391287795452e-02 1.473297248566261906e-03 5.218407746220687639e-05 4.329228742426425122e-05
4.373591391553358854e+00 2.175916115200671186e-02 1.458912617958741612e-03 3.411147589727728680e-05 3.342074098716258773e-05
4.417327305468892185e+00 2.197675276352661911e-02 1.486441379300944624e-03 3.606083085028268821e-05 3.461710542548114756e-05
4.461500578523581062e+00 2.219652029116225833e-02 1.429871050157175165e-03 3.655084200923020341e-05 3.542755654754018200e-05
4.506115584308817645e+00 2.241848549407388091e-02 1.440426659542907127e-03 3.987302198828538129e-05 3.731285977158996659e-05
4.551176740151905875e+00 2.264267034901434883e-02 1.397167358614521265e-03 3.815713036137132277e-05 3.776323080559032205e-05
4.596688507553424508e+00 2.286909705250472769e-02 1.447913419786272041e-03 3.766541365684801193e-05 3.737553636672889118e-05
4.642655392628959099e+00 2.309778802302986378e-02 1.426017608789255028e-03 3.881628357874964368e-05 3.926099268651981797e-05
4.689081946555249125e+00 2.332876590326016242e-02 1.369399613088105334e-03 3.978699149980980093e-05 3.853465267891448238e-05
4.735972766020801750e+00 2.356205356229246206e-02 1.397537287556219632e-03 3.987751709612115533e-05 4.017983833167057192e-05
4.783332493681009545e+00 2.379767409791533339e-02 1.380213340052538354e-03 4.000610131659669642e-05 3.935831079337521890e-05
4.831165818617819241e+00 2.403565083889480647e-02 1.436797704122642644e-03 4.108972812476528047e-05 4.043953893620952659e-05
4.879477476803998570e+00 2.427600734728363463e-02 1.493985240987987569e-03 5.611327237793133592e-05 4.933236789033879950e-05
4.928272251572037632e+00 2.451876742075631554e-02 1.426167078764176491e-03 4.424354663824184991e-05 4.348759073911182839e-05
4.977554974087758488e+00 2.476395509496409630e-02 1.380596094891272350e-03 4.716339541557998101e-05 4.672830054970742635e-05
5.027330523828636544e+00 2.501159464591351522e-02 1.494400239837523001e-03 6.546119230717548944e-05 5.401275883722960890e-05
5.077603829066922536e+00 2.526171059237292127e-02 1.398725102624340418e-03 4.852984453832239549e-05 4.811969507277205545e-05
5.128379867357591770e+00 2.551432769829631297e-02 1.389597572945790649e-03 4.649205161223098353e-05 4.695801023214487044e-05
5.179663666031167679e+00 2.576947097527959585e-02 1.401106194450470101e-03 1.015592521638339840e-04 9.997543990837489541e-05
