iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
52,1.0123770833015442,1.0073115825653076,1.0174425840377808,749.8441545409496,57.82058281784181,60.954535586201615,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
53,1.0225176811218262,1.0174425840377808,1.0275927782058716,755.8789259121215,70.98432988242963,71.84206946490168,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
54,1.0326796174049377,1.0275927782058716,1.037766456604004,903.0384672757484,51.71196590850902,50.47170706265458,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
55,1.0428627729415894,1.037766456604004,1.0479590892791748,724.3857225192286,55.45256022818567,53.817509935294815,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
56,1.053063154220581,1.0479590892791748,1.0581672191619873,892.5427180451187,56.07382123373408,55.24029975201862,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
57,1.0637465715408325,1.0581672191619873,1.0693259239196777,758.0252558332369,49.85606333355375,49.02531376502297,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
58,1.0744524598121643,1.0693259239196777,1.0795789957046509,763.6961777775716,47.57219433647225,46.90719791763157,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
59,1.0851829051971436,1.0795789957046509,1.0907868146896362,800.4566302321923,44.81617430889134,46.72179602272608,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
60,1.095930576324463,1.0907868146896362,1.1010743379592896,752.7434985372479,51.84704196117735,49.952347836279195,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
61,1.106697857379913,1.1010743379592896,1.112321376800537,755.5243093928166,45.66037407219032,46.87898451669004,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
62,1.1179523468017578,1.112321376800537,1.1235833168029785,835.141139213619,46.33307424122448,45.22855581201664,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
63,1.1292282938957214,1.1235833168029785,1.1348732709884644,793.388050350145,47.520500887716906,46.53656673383629,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
64,1.1405248045921326,1.1348732709884644,1.1461763381958008,741.8294921634846,60.79066080330047,63.345676926271636,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
65,1.15183824300766,1.1461763381958008,1.157500147819519,890.2726481932086,45.2381288543376,42.745678021301046,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
66,1.1631705164909363,1.157500147819519,1.1688408851623535,752.7101334017907,49.45404647218649,48.462473603253386,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
67,1.1749958992004395,1.1688408851623535,1.1811509132385254,771.4166483358614,41.57916197378367,42.15443341810653,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
68,1.1868412494659424,1.1811509132385254,1.1925315856933594,757.1087100569287,47.70875756015935,49.08746410086958,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
69,1.1987060904502869,1.1925315856933594,1.2048805952072144,831.840869451308,43.79726428990828,41.81532272564883,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
70,1.2105874419212341,1.2048805952072144,1.216294288635254,781.6923064739522,51.04730088685149,51.813338791852786,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
71,1.2224849462509155,1.216294288635254,1.2286756038665771,730.9769365079528,47.10665231971375,46.81747812621479,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
72,1.2348757982254028,1.2286756038665771,1.2410759925842285,807.0805076413951,39.88581598279058,42.44663136665766,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
73,1.2472862601280212,1.2410759925842285,1.253496527671814,721.7641263808785,52.92434564768726,43.745415806054716,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
74,1.2597161531448364,1.253496527671814,1.2659357786178589,815.7591359558172,43.46955870086841,42.01473758724406,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
75,1.2721624374389648,1.2659357786178589,1.2783890962600708,737.5098418098096,41.48705396228812,41.24038143813858,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
76,1.284863442182541,1.2783890962600708,1.291337788105011,816.1854835602485,43.5189102041718,42.03953866852862,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
77,1.2978223860263824,1.291337788105011,1.304306983947754,720.642947827788,41.76865440324934,41.52252261296628,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
78,1.310797244310379,1.304306983947754,1.3172875046730042,779.1849794071894,44.24021845232652,43.24213338194811,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
79,1.323784202337265,1.3172875046730042,1.3302809000015259,766.8961713426897,41.74990089682555,40.70951756630549,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
80,1.3370293378829956,1.3302809000015259,1.343777775764465,825.2699098268831,42.82575160536973,46.354563927027534,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
81,1.3505330681800842,1.343777775764465,1.3572883605957031,806.1921795318226,40.8319822801259,41.1770557932034,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
82,1.3640514016151428,1.3572883605957031,1.3708144426345825,768.9725073280706,44.86343687091694,48.03093169531299,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
83,1.3775849342346191,1.3708144426345825,1.3843554258346558,764.4439155445328,51.041832815590546,50.61810220400702,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
84,1.3913747668266296,1.3843554258346558,1.3983941078186035,693.9824776794721,47.384365140424016,45.18024079097538,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
85,1.4054181575775146,1.3983941078186035,1.4124422073364258,758.5303873270311,54.309096421666474,54.27057294552508,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
86,1.4194758236408234,1.4124422073364258,1.426509439945221,785.1413746967437,52.29517056829461,52.65066842208603,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
87,1.4335502684116364,1.426509439945221,1.4405910968780518,845.5593244397397,58.08452080158267,54.841154217393125,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
