wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.892030023765562063e+00 5.784060047531180970e-03 1.404272729309815259e-03 5.066175741172744101e-05 5.418781467977781618e-05
2.903621326466025110e+00 5.807242652932087523e-03 1.483178506511925428e-03 5.200300266667896734e-05 5.402873994314005655e-05
2.915259087293544660e+00 5.830518174587240310e-03 1.504316144187369843e-03 5.140486226812372830e-05 5.665328708466555054e-05
2.926943492453037976e+00 5.853886984906075952e-03 1.388689087150903924e-03 4.804854292233164944e-05 4.917161013390045500e-05
2.938674728895735555e+00 5.877349457791503085e-03 1.490532447545375033e-03 4.697949661817731867e-05 4.748926900139500366e-05
2.950452984322171623e+00 5.900905968644343247e-03 1.439337571173364416e-03 5.011330987805745821e-05 5.540459162568767658e-05
2.962278447185186181e+00 5.924556894370436311e-03 1.472965086052176143e-03 4.509849254692090029e-05 4.536997742312930305e-05
2.974151306692942143e+00 5.948302613385747506e-03 1.554344944584927241e-03 4.489080216812353717e-05 4.867067314612430413e-05
2.986071752811952251e+00 5.972143505623916937e-03 1.467925027645393919e-03 4.266208224317842606e-05 4.381437698295526670e-05
2.998039976270116203e+00 5.996079952540256386e-03 1.471769869706585120e-03 4.360080898317049447e-05 4.518666235526373943e-05
3.010056168559776424e+00 6.020112337119742918e-03 1.493994289862468237e-03 4.349093246211084020e-05 4.620975489409498562e-05
3.022120521940777849e+00 6.044241043881681819e-03 1.405714074880930848e-03 4.793218999028493960e-05 4.843891879292772562e-05
3.034233229443546342e+00 6.068466458887256110e-03 1.466246361671638427e-03 4.241816563591633193e-05 4.402123809845845441e-05
3.046394484872178232e+00 6.092788969744411531e-03 1.455474315574830811e-03 4.246568024882689323e-05 4.429686173741126392e-05
3.058604482807537828e+00 6.117208965615184013e-03 1.444195593334233856e-03 3.985777325277773439e-05 4.129657085975479758e-05
3.070863418610374040e+00 6.141726837220806701e-03 1.477971427571893488e-03 4.445056967614523545e-05 4.669678192525012909e-05
3.083171488424443663e+00 6.166342976849037427e-03 1.525042511668259085e-03 4.305481849012497187e-05 4.637682073321571484e-05
3.095528889179651966e+00 6.191057778359265740e-03 1.449494311522221170e-03 4.178465090902120678e-05 4.375768214931079404e-05
3.107935818595201738e+00 6.215871637190506505e-03 1.481915482510440338e-03 4.446622419889232497e-05 4.547155849694714075e-05
3.120392475182757863e+00 6.240784950365618755e-03 1.480041372029248419e-03 4.142840295615146873e-05 4.327153398961980807e-05
3.132899058249623003e+00 6.265798116499299297e-03 1.454058639139800156e-03 4.700943998006350104e-05 5.831171592925562852e-05
3.145455767901926158e+00 6.290911535803855870e-03 1.325349696754467461e-03 4.023406958153529812e-05 4.123301953317419423e-05
3.158062805047825439e+00 6.316125610095646437e-03 1.382122430775780883e-03 3.932230144852221166e-05 4.036992349857426954e-05
3.170720371400722826e+00 6.341440742801518482e-03 1.409338670812828893e-03 4.028879759997937407e-05 4.167970220809475042e-05
3.183428669482489148e+00 6.366857338965026258e-03 1.435035787824996516e-03 4.309605341566838171e-05 4.593820909211513592e-05
3.196187902626707711e+00 6.392375805253314169e-03 1.443223693759025693e-03 4.206553047637653480e-05 4.275162729742104330e-05
3.208998274981924581e+00 6.417996549963778108e-03 1.344139180233198646e-03 4.101174376079931133e-05 4.316963418081478884e-05
3.221859991514918420e+00 6.443719983029838616e-03 1.456438116755812921e-03 4.556322307466307507e-05 4.612969530570427322e-05
3.234773258013976083e+00 6.469546516028046312e-03 1.487044919721475277e-03 4.392422785325236719e-05 4.782615552705039819e-05
3.247738281092188650e+00 6.495476562184521185e-03 1.398902704556691896e-03 4.063146603318889134e-05 4.059748117578005180e-05
3.260755268190754563e+00 6.521510536381613932e-03 1.476785802503716681e-03 4.064715460582763736e-05 4.075556148843740862e-05
3.273824427582300967e+00 6.547648855164567294e-03 1.416143955393576667e-03 3.740461550062262685e-05 3.850225806256677720e-05
3.286945968374213933e+00 6.573891936748399445e-03 1.438689094283061333e-03 3.903001505942406912e-05 3.949798406875227165e-05
3.300120100511986010e+00 6.600240201023899189e-03 1.439287851829911110e-03 3.918255122896649635e-05 4.197835147081850382e-05
3.313347034782575307e+00 6.626694069565175482e-03 1.429034340505422936e-03 4.021720471760836888e-05 4.098832204958892937e-05
