wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.231534639214298732e+00 3.231534639214217464e-03 1.458894920764319033e-03 5.688132881876368032e-05 5.897162061175284032e-05
3.238004178031544278e+00 3.238004178031550495e-03 1.533552566354768297e-03 6.446771228871114509e-05 6.711125897542523995e-05
3.244486668878454605e+00 3.244486668878554525e-03 1.452675332842836035e-03 5.692734081291551284e-05 5.687791253805245088e-05
3.250982137685018536e+00 3.250982137685154427e-03 1.362178833529492303e-03 5.431804509103408719e-05 5.531063624013430517e-05
3.257490610433136702e+00 3.257490610433233513e-03 1.456458325854895035e-03 5.576633027957727525e-05 5.661229710680444280e-05
3.264012113156726791e+00 3.264012113156855577e-03 1.510722380312123957e-03 5.488918592926494055e-05 5.640813912129590365e-05
3.270546671941825245e+00 3.270546671941820804e-03 1.442315459405315876e-03 5.168269146566052447e-05 5.217394584190951102e-05
3.277094312926693842e+00 3.277094312926553954e-03 1.417778938118305224e-03 5.367306167497658070e-05 5.563351148599199612e-05
3.283655062301922278e+00 3.283655062301882310e-03 1.370503041570141122e-03 5.588760789767298397e-05 5.858044141698842244e-05
3.290228946310534752e+00 3.290228946310591596e-03 1.515531072436061355e-03 5.224608203563117125e-05 5.235951481933858571e-05
3.296815991248093436e+00 3.296815991248092104e-03 1.485035972328267598e-03 5.470260470787935718e-05 5.874446862952039435e-05
3.303416223462804169e+00 3.303416223462862789e-03 1.403784088670075991e-03 5.509748821363650808e-05 5.640734217426205950e-05
3.310029669355622595e+00 3.310029669355563087e-03 1.375592704552461862e-03 5.390977467955601301e-05 5.519000063104972887e-05
3.316656355380358967e+00 3.316656355380365184e-03 1.480007854430596568e-03 5.392703722593767177e-05 5.888176576124475937e-05
3.323296308043782510e+00 3.323296308043621750e-03 1.445166140711170479e-03 5.656427904014551861e-05 5.835626080506170531e-05
3.329949553905731996e+00 3.329949553905642290e-03 1.474745680332530942e-03 5.768445935258238478e-05 5.581400994244889387e-05
3.336616119579216999e+00 3.336616119579138839e-03 1.525067109372707031e-03 6.010452189201908159e-05 6.141844395237288409e-05
3.343296031730526252e+00 3.343296031730558227e-03 1.453723032715458462e-03 5.496035699783702907e-05 5.670886031717002921e-05
3.349989317079336004e+00 3.349989317079193896e-03 1.479614909937349834e-03 5.643491027435379345e-05 5.782085022290183330e-05
3.356696002398813938e+00 3.356696002398740220e-03 1.419369729030781893e-03 5.645774845532785087e-05 5.739512146575112154e-05
3.363416114515728417e+00 3.363416114515738187e-03 1.501023739546201606e-03 5.374312287391401624e-05 5.451994689197347838e-05
3.370149680310555063e+00 3.370149680310685625e-03 1.473119127883324104e-03 5.512326256382812912e-05 5.561360911836226670e-05
3.376896726717583341e+00 3.376896726717593111e-03 1.528136110497198448e-03 6.001397636554550420e-05 5.977451606842159232e-05
3.383657280725025807e+00 3.383657280725094196e-03 1.456581494292327099e-03 5.491601797851950530e-05 5.565579773419365928e-05
3.390431369375126458e+00 3.390431369375113135e-03 1.470780591077154109e-03 5.192372269560480738e-05 5.343688420498571322e-05
3.397219019764265546e+00 3.397219019764197157e-03 1.399409172295437579e-03 5.477881168366515537e-05 5.723906372969256269e-05
3.404020259043072816e+00 3.404020259043072372e-03 1.469939558115765160e-03 5.421726729589768865e-05 5.570583122103496467e-05
3.410835114416532310e+00 3.410835114416421732e-03 1.443582727354922714e-03 5.192776471955632772e-05 5.472992422172697933e-05
3.417663613144092949e+00 3.417663613143995249e-03 1.523790418359632221e-03 5.452459254878940187e-05 5.481002894494949718e-05
3.424505782539776444e+00 3.424505782539721821e-03 1.363443909277571196e-03 5.454765733283365001e-05 5.607264883853016669e-05
3.431361649972288319e+00 3.431361649972375361e-03 1.333649262852508541e-03 5.385505561870065650e-05 5.510538953866877919e-05
3.438231242865126269e+00 3.438231242865130710e-03 1.418845576613478061e-03 5.233665682825588310e-05 5.490497831997703993e-05
3.445114588696688074e+00 3.445114588696673863e-03 1.349173224016826525e-03 5.303996144345263447e-05 5.449311040676055844e-05
3.452011715000384839e+00 3.452011715000313785e-03 1.434194764344077361e-03 5.522340770337229321e-05 5.670405950203802629e-05
3.458922649364749802e+00 3.458922649364648549e-03 1.429794283912842745e-03 5.763265536557401076e-05 5.953066823887563907e-05
3.465847419433548016e+00 3.465847419433565335e-03 1.416350142693174581e-03 5.453829978067969623e-05 6.029547442338591655e-05
3.472786052905887821e+00 3.472786052906018384e-03 1.420419965605538041e-03 5.498251999794896618e-05 5.599380381174695804e-05
3.479738577536330091e+00 3.479738577536473088e-03 1.388547242545532662e-03 5.346131642574198121e-05 5.468350235884277520e-05
3.486705021135001470e+00 3.486705021134905991e-03 1.536351938742728986e-03 6.381463862959578937e-05 8.500333447517825259e-05
3.493685411567704069e+00 3.493685411567692967e-03 1.433550781396028843e-03 5.618315982084448650e-05 5.834136499027150921e-05
3.500679776756027373e+00 3.500679776755832862e-03 1.502717561270040412e-03 5.563209966000997946e-05 5.740852180234434456e-05
3.507688144677461040e+00 3.507688144677389985e-03 1.463493936999898850e-03 5.616129162426772991e-05 5.570737879996188417e-05
3.514710543365503703e+00 3.514710543365495710e-03 1.329633979993107918e-03 5.401421397527605723e-05 5.430971439277006304e-05
3.521747000909778880e+00 3.521747000909680736e-03 1.462688276290892257e-03 5.303761299338124807e-05 5.337790875805066353e-05
3.528797545456144658e+00 3.528797545456097140e-03 1.452450808636812120e-03 5.487375893442237467e-05 5.469167049278052760e-05
3.535862205206807829e+00 3.535862205206852238e-03 1.484797873193061850e-03 6.439208179792294364e-05 6.953908173392297392e-05
3.542941008420434912e+00 3.542941008420452675e-03 1.443953879178399343e-03 5.573116432858414560e-05 5.753797774578357619e-05
3.550033983412267613e+00 3.550033983412248517e-03 1.437727815960309925e-03 5.473452166188282064e-05 5.583608646099537148e-05
3.557141158554234295e+00 3.557141158554211202e-03 1.436293931167840479e-03 5.485770737369398289e-05 5.793930168412816115e-05
3.564262562275063217e+00 3.564262562275155588e-03 1.424394006918709146e-03 5.406603728753890843e-05 5.553844423961932266e-05
3.571398223060398891e+00 3.571398223060295862e-03 1.515324755993214178e-03 5.157937661973149715e-05 5.330947673970091945e-05
3.578548169452911765e+00 3.578548169452799854e-03 1.412782176751193990e-03 5.853664662509917870e-05 6.073122223331471614e-05
3.585712430052417243e+00 3.585712430052456767e-03 1.438391680026813091e-03 5.108989986260043447e-05 5.303260028227443890e-05
3.592891033515985377e+00 3.592891033515899224e-03 1.386510392950717841e-03 5.125928622417498157e-05 5.150417167727519959e-05
